zip,rep_code,rep_full,rep_label
39262,BNA,Barry,BNA (Barry)
39263,BNA,Barry,BNA (Barry)
39264,BNA,Barry,BNA (Barry)
39265,BNA,Barry,BNA (Barry)
39266,BNA,Barry,BNA (Barry)
39267,BNA,Barry,BNA (Barry)
39268,BNA,Barry,BNA (Barry)
39269,BNA,Barry,BNA (Barry)
39270,BNA,Barry,BNA (Barry)
39271,BNA,Barry,BNA (Barry)
39272,BNA,Barry,BNA (Barry)
39273,BNA,Barry,BNA (Barry)
39274,BNA,Barry,BNA (Barry)
39275,BNA,Barry,BNA (Barry)
39276,BNA,Barry,BNA (Barry)
39277,BNA,Barry,BNA (Barry)
39278,BNA,Barry,BNA (Barry)
39279,BNA,Barry,BNA (Barry)
39280,BNA,Barry,BNA (Barry)
39281,BNA,Barry,BNA (Barry)
39282,BNA,Barry,BNA (Barry)
39283,BNA,Barry,BNA (Barry)
39284,BNA,Barry,BNA (Barry)
39285,BNA,Barry,BNA (Barry)
39286,BNA,Barry,BNA (Barry)
39287,BNA,Barry,BNA (Barry)
39288,BNA,Barry,BNA (Barry)
39289,BNA,Barry,BNA (Barry)
39290,BNA,Barry,BNA (Barry)
39291,BNA,Barry,BNA (Barry)
39292,BNA,Barry,BNA (Barry)
39293,BNA,Barry,BNA (Barry)
